título,años,reparto,ranking,valoración,votaciones
Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",168,8.1,473858
Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",169,8.1,679281
Prisioneros,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",170,8.1,714450
Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",171,8.1,776876
Mi vecino Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",172,8.09,340633
Atrápame si puedes,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",173,8.09,982149
Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",174,8.09,688450
Children of Heaven,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",175,8.09,75469
Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",176,8.08,770711
La quimera del oro,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",177,8.08,112233
La ley del silencio,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",178,8.08,156218
Antes de amanecer,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",179,8.08,309718
12 años de esclavitud,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",180,8.08,702027
Harry Potter y las Reliquias de la Muerte: Parte 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",181,8.08,875051
Ben-Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",182,8.08,240379
Fresas salvajes,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",183,8.08,108255
Perdida,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",184,8.08,982518
El tercer hombre,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",185,8.08,172701
El maquinista de La General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",186,8.08,92298
El gran hotel Budapest,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",187,8.08,809853
Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",188,8.07,154146
El cazador,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",189,8.07,340741
En el nombre del padre,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",190,8.07,176330
El salario del miedo,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",191,8.07,61911
Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",192,8.07,169406
Hasta el último hombre,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",193,8.07,526535
El moderno Sherlock Holmes,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",194,8.07,50807
Caballero sin espada,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",195,8.07,116463
Memories of Murder (Crónica de un asesino en serie),2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",196,8.07,185733
Relatos salvajes,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",197,8.07,199588
El séptimo sello,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",198,8.06,186403
Mad Max: Furia en la carretera,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",199,8.06,1002323
La habitación,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",200,8.06,422035
Mary and Max,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",201,8.06,178183
Cómo entrenar a tu dragón,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",202,8.06,740898
Monstr,2001,"Pete Docter (dir.), Billy Crystal, John Goodman",203,8.06,909210
El gran Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",204,8.06,809596
Tiburón,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",205,8.06,607688
El club de los poetas muertos,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",206,8.06,492335
La pasión de Juana de Arco,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",207,8.06,55612
Cuentos de Tokio,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",208,8.05,62503
Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",209,8.05,356878
Le Mans '66,2019,"James Mangold (dir.), Matt Damon, Christian Bale",210,8.05,394513
Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",211,8.05,577264
Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",212,8.05,415775
Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",213,8.04,471094
Terminator,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",214,8.04,865754
Cuenta conmigo,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",215,8.04,405595
Ratatouille,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",216,8.04,737416
Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",217,8.04,763472
Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",218,8.04,481194
Pather Panchali (La canción del camino),1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",219,8.04,33591
"Network, un mundo implacable",1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",220,8.04,160661
Hacia rutas salvajes,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",221,8.03,624526
El mago de Oz,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",222,8.03,401523
Antes del atardecer,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",223,8.03,265657
